city,month,zhvi,pred_pct_change,down_prob,actual_change,actual_dir,signal,score
Kenner,2015-03-01,247399.0952727091,5.3254160065125165,0.03653045366608898,2.0498740460163978,1,STRONG BUY,2
Kenner,2015-04-01,248493.38048248272,5.172738543224136,0.059184342170270576,2.507959884986133,1,STRONG BUY,2
Kenner,2015-05-01,249548.08981366703,5.460472822828263,0.07054943053685181,3.1493065316945623,1,STRONG BUY,2
Kenner,2015-06-01,250659.4869386062,5.399241704806299,0.054883442944280825,3.6817940646753033,1,STRONG BUY,2
Kenner,2015-07-01,251529.767344693,5.045518633698656,0.06161903973507321,3.4611917239695034,1,STRONG BUY,2
Kenner,2015-08-01,251302.62157609212,5.438542300987773,0.09455753460164729,3.200795616599339,1,STRONG BUY,2
Kenner,2015-09-01,252470.46511678377,5.461923180124617,0.05750619025714099,2.2308475161714414,1,STRONG BUY,2
Kenner,2015-10-01,254725.49478182936,5.441611265594894,0.052761618004847355,1.7713478289713924,1,STRONG BUY,2
Kenner,2015-11-01,257407.1241058879,5.562119824823672,0.045248346116025906,1.7510382738377572,1,STRONG BUY,2
Kenner,2015-12-01,259888.25305125737,5.433915652713565,0.04162150919715524,1.8537718903549385,1,STRONG BUY,2
Kenner,2016-01-01,260235.6948353473,5.593064296221336,0.04835152316857949,2.3521788412010025,1,STRONG BUY,2
Kenner,2016-02-01,259346.3048718989,5.478937353465544,0.06478005722192115,3.317163167445658,1,STRONG BUY,2
Kenner,2016-03-01,258102.696216908,5.6907907293022415,0.05351798388840978,4.089268881768748,1,STRONG BUY,2
Kenner,2016-04-01,259237.5693034839,5.455266369880747,0.04784063735752686,4.00862326708995,1,STRONG BUY,2
Kenner,2016-05-01,261914.42136856704,5.616817548740011,0.06286294669224324,3.0467472898727532,1,STRONG BUY,2
Kenner,2016-06-01,264705.98843265604,5.714245168382325,0.03292834493122443,1.7306416632564492,1,STRONG BUY,2
Kenner,2016-07-01,266356.90378651675,5.341319555369596,0.02913733313001754,0.4273594269952774,1,STRONG BUY,2
Kenner,2016-08-01,267949.2449732408,5.322820939506964,0.036341819730034475,-1.1113412985633953,0,STRONG BUY,2
Kenner,2016-09-01,268657.2094563121,6.131178050579718,0.08300317828261405,-2.1201395620920716,0,STRONG BUY,2
Kenner,2016-10-01,269629.42682362185,5.59338109018333,0.06363371655305605,-3.051049030458508,0,STRONG BUY,2
Kenner,2016-11-01,269894.29190339975,6.008756773604842,0.01531666991215519,-3.645888701102229,0,STRONG BUY,2
Kenner,2016-12-01,269287.1005536064,6.027007110092044,0.014015010257992122,-3.6703237070298433,0,STRONG BUY,2
Kenner,2017-01-01,267495.2051243012,5.482683816923392,0.023533581712877893,-3.1644871877110403,0,STRONG BUY,2
